monthly_inventory_id,product__product_id,inventory_month,monthly_quantity_eom,wdf__client_id,monthly_quantity_bom,date
M-5XAHLHVN,P-3QPJTNTV,2024-07-01,1386.0,merchant__clothing,1429.0,2024-07-01 00:00:00.000
M-7B0XGJVE,P-L5A1FDV2,2023-09-01,919.0,merchant__clothing,954.0,2023-09-01 00:00:00.000
M-RN7GDP4X,P-VZYM7XLO,2022-05-01,862.0,merchant__electronics,862.0,2022-05-01 00:00:00.000
M-JWVRV92T,P-2COKN5Z7,2023-05-01,842.0,merchant__clothing,842.0,2023-05-01 00:00:00.000
M-RKQNVW4Q,P-G0AEWWH1,2021-10-01,1864.0,merchant__clothing,1896.0,2021-10-01 00:00:00.000
M-61SGWK73,P-QLTVCLVI,2022-08-01,347.0,merchant__bigboxretailer,347.0,2022-08-01 00:00:00.000
M-WK53HG84,P-88I28DAN,2022-09-01,1227.0,merchant__clothing,1282.0,2022-09-01 00:00:00.000
M-A62JK0TY,P-6RJFHPGV,2024-02-01,443.0,merchant__bigboxretailer,443.0,2024-02-01 00:00:00.000
M-5RSYZRCT,P-2COKN5Z7,2024-12-01,443.0,merchant__electronics,443.0,2024-12-01 00:00:00.000
M-H2D4EOSI,P-NCFZW74X,2022-10-01,603.0,merchant__clothing,603.0,2022-10-01 00:00:00.000
M-AXJ2O274,P-Q0V5HRZM,2024-04-01,943.0,merchant__bigboxretailer,943.0,2024-04-01 00:00:00.000
M-TIV36ATE,P-CB7JJDYR,2022-12-01,2089.0,merchant__clothing,2115.0,2022-12-01 00:00:00.000
M-1XHOME0H,P-41V30DW4,2023-02-01,3769.0,merchant__bigboxretailer,3847.0,2023-02-01 00:00:00.000
M-UZEWMD1K,P-UB0JXL3L,2024-09-01,1485.0,merchant__bigboxretailer,1590.0,2024-09-01 00:00:00.000
M-A0AFKFGG,P-1GOR71BN,2023-07-01,1647.0,merchant__clothing,1694.0,2023-07-01 00:00:00.000
M-4FPO1TVD,P-RDU4ZGRH,2024-04-01,737.0,merchant__bigboxretailer,737.0,2024-04-01 00:00:00.000
M-KIVLX18P,P-I82KT6GS,2022-09-01,947.0,merchant__clothing,947.0,2022-09-01 00:00:00.000
M-8Y74HF9X,P-CPDTNDJE,2024-07-01,2127.0,merchant__bigboxretailer,2271.0,2024-07-01 00:00:00.000
M-7COKPPY1,P-L5A1FDV2,2023-01-01,364.0,merchant__bigboxretailer,364.0,2023-01-01 00:00:00.000
M-6QR5YQUD,P-3KZWUNVC,2024-02-01,596.0,merchant__electronics,596.0,2024-02-01 00:00:00.000
M-MITCN08B,P-3QPJTNTV,2024-11-01,2604.0,merchant__electronics,2847.0,2024-11-01 00:00:00.000
M-91VNA4WN,P-AJ2G8KSW,2023-01-01,1663.0,merchant__clothing,1713.0,2023-01-01 00:00:00.000
M-JZTNB7FJ,P-6NMK0E10,2022-08-01,755.0,merchant__bigboxretailer,755.0,2022-08-01 00:00:00.000
M-FH17GGTW,P-3Z3UNUJF,2023-02-01,732.0,merchant__electronics,732.0,2023-02-01 00:00:00.000
M-7L1WG6EM,P-6R63U2JU,2024-10-01,255.0,merchant__electronics,255.0,2024-10-01 00:00:00.000
M-N8HREG24,P-CYKBPXIA,2022-06-01,326.0,merchant__clothing,326.0,2022-06-01 00:00:00.000
M-MMSL2VRS,P-7HFAJIE8,2024-08-01,91.0,merchant__electronics,91.0,2024-08-01 00:00:00.000
M-91UFYM5K,P-CYKBPXIA,2021-12-01,326.0,merchant__clothing,326.0,2021-12-01 00:00:00.000
M-153TOLY5,P-I82KT6GS,2024-10-01,1751.0,merchant__bigboxretailer,1909.0,2024-10-01 00:00:00.000
M-FM0EONOF,P-6CGMXPQW,2021-11-01,1939.0,merchant__clothing,1980.0,2021-11-01 00:00:00.000
M-9TEX7SL7,P-TMFDHTNI,2021-10-01,870.0,merchant__clothing,870.0,2021-10-01 00:00:00.000
M-F8X7U6S2,P-1FGKWX2V,2024-07-01,419.0,merchant__clothing,419.0,2024-07-01 00:00:00.000
M-FXW95KYW,P-VZYM7XLO,2024-08-01,801.0,merchant__bigboxretailer,801.0,2024-08-01 00:00:00.000
M-IQC88ML2,P-HP2GUQIM,2024-03-01,596.0,merchant__bigboxretailer,596.0,2024-03-01 00:00:00.000
M-MQVEN1PS,P-DU8MH4NR,2023-05-01,562.0,merchant__electronics,562.0,2023-05-01 00:00:00.000
M-PX5MAP4T,P-ZN1HH8N5,2024-11-01,118.0,merchant__electronics,118.0,2024-11-01 00:00:00.000
M-PFWSIN8N,P-VZYM7XLO,2024-01-01,1440.0,merchant__clothing,1463.0,2024-01-01 00:00:00.000
M-68AMCTEX,P-7ETK3T3N,2022-05-01,312.0,merchant__bigboxretailer,312.0,2022-05-01 00:00:00.000
M-CCNQTBER,P-HP2GUQIM,2023-12-01,596.0,merchant__bigboxretailer,596.0,2023-12-01 00:00:00.000
M-OD0Z5T2U,P-VP08CDK1,2024-12-01,1491.0,merchant__bigboxretailer,1594.0,2024-12-01 00:00:00.000
M-OMYTGSSR,P-Q05V2UBU,2024-03-01,58.0,merchant__bigboxretailer,58.0,2024-03-01 00:00:00.000
M-NZG3PI44,P-7HFAJIE8,2022-11-01,326.0,merchant__bigboxretailer,326.0,2022-11-01 00:00:00.000
M-3K9OTIUH,P-6BW9THKE,2024-11-01,1571.0,merchant__bigboxretailer,1605.0,2024-11-01 00:00:00.000
M-GN5TTMCW,P-I82KT6GS,2024-01-01,947.0,merchant__clothing,947.0,2024-01-01 00:00:00.000
M-Z3VR6CZJ,P-DU8MH4NR,2022-07-01,211.0,merchant__bigboxretailer,211.0,2022-07-01 00:00:00.000
M-HGWNIAJJ,P-G0AEWWH1,2023-07-01,783.0,merchant__bigboxretailer,783.0,2023-07-01 00:00:00.000
M-25VCC2W0,P-M0PIJU56,2022-02-01,1861.0,merchant__clothing,1880.0,2022-02-01 00:00:00.000
M-BFUH3I4W,P-AJ2G8KSW,2024-01-01,4491.0,merchant__electronics,4754.0,2024-01-01 00:00:00.000
M-OUDQHYQV,P-EOPE7IHA,2022-06-01,8836.0,merchant__electronics,9057.0,2022-06-01 00:00:00.000
M-B0TS4BGK,P-XU5MN3U7,2022-09-01,3830.0,merchant__bigboxretailer,3943.0,2022-09-01 00:00:00.000
M-HZ091EPA,P-86UWICUH,2023-04-01,812.0,merchant__bigboxretailer,812.0,2023-04-01 00:00:00.000
M-JJ750ID0,P-JZNBOAO0,2022-04-01,2219.0,merchant__clothing,2236.0,2022-04-01 00:00:00.000
M-S934E3SR,P-Y2RWSLCK,2023-04-01,3487.0,merchant__bigboxretailer,3587.0,2023-04-01 00:00:00.000
M-DOCWU0KP,P-CLPSN2L9,2024-12-01,406.0,merchant__clothing,406.0,2024-12-01 00:00:00.000
M-K17SY1VM,P-ZN1HH8N5,2024-08-01,118.0,merchant__electronics,118.0,2024-08-01 00:00:00.000
M-M24UTHB9,P-6RJFHPGV,2022-12-01,159.0,merchant__electronics,159.0,2022-12-01 00:00:00.000
M-DGS1XJ0S,P-ZN1HH8N5,2024-06-01,385.0,merchant__bigboxretailer,385.0,2024-06-01 00:00:00.000
M-3BT1ZBU4,P-86UWICUH,2023-01-01,7298.0,merchant__electronics,7629.0,2023-01-01 00:00:00.000
M-BRG7YIWW,P-1FGKWX2V,2024-06-01,419.0,merchant__clothing,419.0,2024-06-01 00:00:00.000
M-SWSOIAL5,P-6CGMXPQW,2024-03-01,929.0,merchant__clothing,973.0,2024-03-01 00:00:00.000
M-4AJH530S,P-09HVI1I7,2023-07-01,6281.0,merchant__electronics,6422.0,2023-07-01 00:00:00.000
M-Y00OJP9C,P-BQUWMGGX,2023-02-01,450.0,merchant__clothing,450.0,2023-02-01 00:00:00.000
M-UTUD19DS,P-VIJEYOYB,2023-06-01,23.0,merchant__electronics,23.0,2023-06-01 00:00:00.000
M-IGK6MP0W,P-09HVI1I7,2022-08-01,8381.0,merchant__electronics,8598.0,2022-08-01 00:00:00.000
M-HD8D54A6,P-FVCDEIME,2022-11-01,2037.0,merchant__clothing,2074.0,2022-11-01 00:00:00.000
M-9I36G70J,P-41V30DW4,2023-01-01,3847.0,merchant__bigboxretailer,3989.0,2023-01-01 00:00:00.000
M-5H32HDX4,P-FBIWQ337,2023-08-01,795.0,merchant__bigboxretailer,795.0,2023-08-01 00:00:00.000
M-6WBGKVYM,P-UB0JXL3L,2024-11-01,348.0,merchant__clothing,348.0,2024-11-01 00:00:00.000
M-36LN0TOS,P-0H1EWXEB,2021-11-01,5331.0,merchant__bigboxretailer,5441.0,2021-11-01 00:00:00.000
M-6Q2CULGE,P-6RJFHPGV,2024-05-01,443.0,merchant__bigboxretailer,443.0,2024-05-01 00:00:00.000
M-60HW9XLV,P-VP08CDK1,2022-12-01,1181.0,merchant__clothing,1231.0,2022-12-01 00:00:00.000
M-G4CNIM3L,P-WI0WGQ0C,2023-12-01,868.0,merchant__clothing,898.0,2023-12-01 00:00:00.000
M-OG3YS0DK,P-PSGTPT0C,2023-04-01,6827.0,merchant__electronics,7043.0,2023-04-01 00:00:00.000
M-42ZUYUCR,P-I82KT6GS,2023-08-01,3119.0,merchant__bigboxretailer,3222.0,2023-08-01 00:00:00.000
M-HGSYA0IK,P-GJNTTNBZ,2022-07-01,635.0,merchant__clothing,635.0,2022-07-01 00:00:00.000
M-4OAOTTJY,P-I82KT6GS,2022-12-01,947.0,merchant__clothing,947.0,2022-12-01 00:00:00.000
M-JW45U32D,P-GLYGF0FD,2024-10-01,93.0,merchant__bigboxretailer,93.0,2024-10-01 00:00:00.000
M-H8UW31XZ,P-WEHJV5MG,2023-05-01,3685.0,merchant__bigboxretailer,3822.0,2023-05-01 00:00:00.000
M-ZPZI7WGV,P-ANQV2M79,2023-08-01,509.0,merchant__electronics,509.0,2023-08-01 00:00:00.000
M-2XY0VDY9,P-GEN70VB8,2023-01-01,1603.0,merchant__clothing,1623.0,2023-01-01 00:00:00.000
M-ZIMIDTJK,P-14Z846TC,2022-04-01,9177.0,merchant__electronics,9367.0,2022-04-01 00:00:00.000
M-QYJW6INO,P-86UWICUH,2022-10-01,812.0,merchant__bigboxretailer,812.0,2022-10-01 00:00:00.000
M-8XLIFS5U,P-86UWICUH,2024-02-01,812.0,merchant__bigboxretailer,812.0,2024-02-01 00:00:00.000
M-XFT926WC,P-6RJFHPGV,2021-12-01,159.0,merchant__electronics,159.0,2021-12-01 00:00:00.000
M-GTGIMWQF,P-IVPJAWWH,2023-02-01,801.0,merchant__electronics,801.0,2023-02-01 00:00:00.000
M-3HVF55UM,P-GLYGF0FD,2024-02-01,4396.0,merchant__electronics,4587.0,2024-02-01 00:00:00.000
M-E6QTDDNW,P-24XYAMNJ,2023-04-01,465.0,merchant__electronics,465.0,2023-04-01 00:00:00.000
M-PJMGY3OB,P-FVCDEIME,2024-07-01,1458.0,merchant__clothing,1511.0,2024-07-01 00:00:00.000
M-XDAOILUX,P-3Z3UNUJF,2022-11-01,732.0,merchant__electronics,732.0,2022-11-01 00:00:00.000
M-B7LRA0D0,P-9GDEYYQC,2024-01-01,5151.0,merchant__electronics,5361.0,2024-01-01 00:00:00.000
M-9RYL7CSM,P-Z1Q1R8RB,2023-08-01,748.0,merchant__clothing,748.0,2023-08-01 00:00:00.000
M-QU236XA8,P-CB7JJDYR,2024-10-01,385.0,merchant__bigboxretailer,385.0,2024-10-01 00:00:00.000
M-EU9DQLRC,P-VP08CDK1,2024-07-01,2001.0,merchant__bigboxretailer,2091.0,2024-07-01 00:00:00.000
M-YONLNQ98,P-2P3LQ8WQ,2024-01-01,1736.0,merchant__clothing,1753.0,2024-01-01 00:00:00.000
M-HBBOIFNK,P-EOPE7IHA,2024-03-01,4232.0,merchant__electronics,4411.0,2024-03-01 00:00:00.000
M-849P3VST,P-ARA49TZS,2022-09-01,4407.0,merchant__bigboxretailer,4510.0,2022-09-01 00:00:00.000
M-EOT7OFEH,P-R80WGNC9,2022-07-01,9436.0,merchant__electronics,9730.0,2022-07-01 00:00:00.000
M-3Z539LEF,P-FEA649UJ,2024-02-01,316.0,merchant__bigboxretailer,316.0,2024-02-01 00:00:00.000
M-TQ80RIO6,P-Y1E6PTO7,2023-05-01,3255.0,merchant__bigboxretailer,3362.0,2023-05-01 00:00:00.000
M-7R1F2T8C,P-6RJFHPGV,2023-05-01,443.0,merchant__bigboxretailer,443.0,2023-05-01 00:00:00.000
M-W6YVZMEG,P-09HVI1I7,2024-11-01,38.0,merchant__bigboxretailer,38.0,2024-11-01 00:00:00.000
M-RPFBQMP4,P-XU5MN3U7,2023-04-01,422.0,merchant__clothing,422.0,2023-04-01 00:00:00.000
M-M64UNLPA,P-FQE6KSM0,2023-07-01,898.0,merchant__electronics,898.0,2023-07-01 00:00:00.000
M-WSNFREAP,P-Z1Q1R8RB,2021-10-01,5146.0,merchant__bigboxretailer,5270.0,2021-10-01 00:00:00.000
M-6UMR6CWG,P-Q05V2UBU,2022-03-01,1629.0,merchant__clothing,1643.0,2022-03-01 00:00:00.000
M-BR2QMXFW,P-FQE6KSM0,2024-10-01,703.0,merchant__clothing,759.0,2024-10-01 00:00:00.000
M-43FY5DDV,P-VP08CDK1,2024-09-01,1789.0,merchant__bigboxretailer,1906.0,2024-09-01 00:00:00.000
M-OXD4H4K8,P-WI0WGQ0C,2023-09-01,915.0,merchant__clothing,942.0,2023-09-01 00:00:00.000
M-T4O3WRHU,P-TMFDHTNI,2022-04-01,870.0,merchant__clothing,870.0,2022-04-01 00:00:00.000
M-HY5I5HFT,P-6RJFHPGV,2023-03-01,1664.0,merchant__clothing,1685.0,2023-03-01 00:00:00.000
M-RRQXBOIH,P-G0AEWWH1,2021-10-01,10489.0,merchant__electronics,10771.0,2021-10-01 00:00:00.000
M-48HO6CIM,P-FBIWQ337,2021-11-01,10953.0,merchant__electronics,11189.0,2021-11-01 00:00:00.000
M-HIPRI321,P-F2TJEYP5,2023-03-01,1370.0,merchant__clothing,1404.0,2023-03-01 00:00:00.000
