return_id,order__order_id,product__product_id,customer__customer_id,return_unit_cost,return_unit_quantity,wdf__client_id,return_unit_paid_amount,date,return_date
R-7I87ZOL5,O-SH1DDBGQ,P-1FGKWX2V,C-AP0HE6ED,630.58,8.0,merchant__bigboxretailer,530.38,2022-05-29 03:53:01.000,2022-05-29 03:53:01.000
R-YMU37ROO,O-YXAGGE99,P-NCFZW74X,C-TEJ3SA85,830.25,9.0,merchant__bigboxretailer,779.69,2024-03-28 12:06:36.000,2024-03-28 12:06:36.000
R-TQMR8SNX,O-4C8EFFYZ,P-R80WGNC9,C-L2DVE8UB,130.63,8.0,merchant__electronics,212.23,2022-10-06 12:53:58.000,2022-10-06 12:53:58.000
R-3ST61C0C,O-1NZZPMAI,P-X5JEKM0B,C-LH01MQIA,485.35,9.0,merchant__electronics,899.44,2024-06-22 07:33:49.000,2024-06-22 07:33:49.000
R-9WBJADC3,O-GL7J8B44,P-XU5MN3U7,C-V6OLDX3B,243.56,1.0,merchant__bigboxretailer,778.31,2022-01-22 13:47:04.000,2022-01-22 13:47:04.000
R-XSWO4DAA,O-GL6K5J0P,P-JM1OCRS6,C-RQGE7TGX,178.23,7.0,merchant__bigboxretailer,177.73,2024-03-10 01:34:03.000,2024-03-10 01:34:03.000
R-9PE626ZG,O-ZIC7ZF4Q,P-FQE6KSM0,C-8Z27WCMU,5.36,7.0,merchant__clothing,5.7,2024-12-09 00:33:37.000,2024-12-09 00:33:37.000
R-NZYQLI2Q,O-LK5SI99Q,P-JM1OCRS6,C-3OC2L06E,400.59,8.0,merchant__bigboxretailer,599.0,2022-10-05 07:05:43.000,2022-10-05 07:05:43.000
R-KRU4XW20,O-92JBUJVY,P-PSGTPT0C,C-3DUP7LZ6,543.12,3.0,merchant__electronics,696.12,2023-11-20 14:38:33.000,2023-11-20 14:38:33.000
R-5ZADXBQQ,O-9EK51GH5,P-7O91ZPJP,C-0BQD92IF,135.41,4.0,merchant__electronics,350.22,2023-12-17 01:12:55.000,2023-12-17 01:12:55.000
R-L3BP9API,O-W8G4X6VU,P-FEA649UJ,C-8PN95KBJ,657.08,1.0,merchant__electronics,481.54,2024-02-09 00:41:13.000,2024-02-09 00:41:13.000
R-QOR8EIM8,O-4OEKKMEE,P-FLJC8ZF6,C-SMA5XP3A,697.03,7.0,merchant__electronics,756.9,2024-05-05 03:37:01.000,2024-05-05 03:37:01.000
R-25DYAVPQ,O-CQVC49E5,P-R80WGNC9,C-35QBG82F,217.34,4.0,merchant__electronics,167.41,2022-01-16 02:37:24.000,2022-01-16 02:37:24.000
R-ONQ9J71U,O-22FU65GC,P-I82KT6GS,C-3UE27BFS,98.54,9.0,merchant__bigboxretailer,163.6,2024-11-17 00:15:09.000,2024-11-17 00:15:09.000
R-ZLT4OHQV,O-N65BCWSI,P-14Z846TC,C-BAQ76JP8,49.9,6.0,merchant__bigboxretailer,741.13,2023-01-14 10:08:24.000,2023-01-14 10:08:24.000
R-FU1AF0NV,O-YL5MNKJR,P-3QPJTNTV,C-QXUKQAQU,271.26,2.0,merchant__electronics,457.09,2022-12-13 12:44:00.000,2022-12-13 12:44:00.000
R-H5P7495D,O-SH1DDBGQ,P-6BW9THKE,C-AP0HE6ED,44.34,1.0,merchant__bigboxretailer,135.45,2022-06-01 09:43:12.000,2022-06-01 09:43:12.000
R-7SKUMSK4,O-4XJT2NVX,P-WI0WGQ0C,C-XN7D8IU9,384.67,1.0,merchant__bigboxretailer,320.52,2022-03-13 02:00:55.000,2022-03-13 02:00:55.000
